day,views,engagedViews,estimatedMinutesWatched,averageViewDuration,likes,dislikes,comments,shares,subscribersGained,subscribersLost,annotationClickThroughRate,annotationCloseRate,averageViewPercentage
2023-10-09,570,498,2214,233,24,1,3,3,9,1,0,0,30.34
2023-10-10,608,543,2503,247,37,1,10,6,26,4,0,0,24.12
2023-10-11,1003,973,3059,183,50,1,7,13,40,8,0,0,36.51
2023-10-12,910,866,2791,184,28,1,11,8,23,1,0,0,40.91
2023-10-13,1238,1107,2476,120,66,2,7,13,1,0,0,0,31.1
2023-10-14,812,735,3302,244,55,1,11,11,40,6,0,0,47.39
2023-10-15,833,801,3582,258,45,1,12,12,0,0,0,0,26.19
2023-10-16,683,588,2413,212,52,2,13,8,18,3,0,0,30.39
2023-10-17,1021,946,1991,117,74,1,15,7,16,1,0,0,33.08
2023-10-18,809,759,2710,201,48,1,11,6,22,4,0,0,37.95
2023-10-19,1245,1133,4938,238,43,1,8,16,39,7,0,0,36.8
2023-10-20,1029,950,2195,128,57,1,19,10,56,10,0,0,34.89
2023-10-21,1120,958,2651,142,62,2,19,7,28,5,0,0,27.82
2023-10-22,825,796,3121,227,35,1,13,12,8,1,0,0,28.92
2023-10-23,728,647,1104,91,25,1,8,4,28,4,0,0,20.46
2023-10-24,955,887,2754,173,53,2,15,9,29,4,0,0,28.76
2023-10-25,726,677,2589,214,34,1,14,4,13,1,0,0,24.01
2023-10-26,871,825,1945,134,44,1,15,6,39,6,0,0,17.64
2023-10-27,1141,1058,1921,101,51,2,14,15,45,8,0,0,30.66
2023-10-28,895,851,2760,185,56,1,6,7,0,0,0,0,28.35
2023-10-29,975,953,3608,222,51,2,9,12,11,0,0,0,29.34
2023-10-30,748,726,2232,179,46,2,9,10,16,3,0,0,20.3
2023-10-31,821,724,1245,91,45,0,8,11,33,6,0,0,40.09
2023-11-01,923,844,2108,137,68,1,18,6,39,6,0,0,15.88
2023-11-02,978,923,2804,172,30,1,10,11,39,4,0,0,31.02
2023-11-03,930,820,1550,100,56,2,18,5,32,3,0,0,26.86
2023-11-04,1002,961,3490,209,40,0,19,8,32,1,0,0,30.28
2023-11-05,934,854,3674,236,43,2,6,9,37,6,0,0,31.89
2023-11-06,765,699,1862,146,26,1,4,8,30,5,0,0,29.42
2023-11-07,1045,923,2630,151,71,2,17,13,49,9,0,0,28.37
2023-11-08,987,951,2369,144,79,3,14,6,53,11,0,0,36.29
2023-11-09,1208,1121,2134,106,59,3,14,15,68,7,0,0,27.45
2023-11-10,1067,1044,3841,216,69,2,17,10,51,5,0,0,20.29
2023-11-11,1047,1020,1710,98,40,2,11,14,62,10,0,0,17.06
2023-11-12,990,881,3614,219,68,1,17,11,37,1,0,0,24.59
2023-11-13,793,774,2458,186,44,0,8,9,16,2,0,0,32.84
2023-11-14,889,781,2460,166,45,2,12,13,37,6,0,0,36.56
2023-11-15,1256,1153,4605,220,55,1,16,18,42,4,0,0,38.06
2023-11-16,1239,1148,4006,194,87,2,7,14,43,3,0,0,37.62
2023-11-17,1177,1120,2236,114,71,3,10,13,28,4,0,0,21.98
2023-11-18,809,728,3101,230,45,1,14,5,36,1,0,0,25.17
2023-11-19,828,720,2194,159,29,1,11,7,33,4,0,0,25.96
2023-11-20,518,493,941,109,22,0,5,8,13,2,0,0,18.35
2023-11-21,631,618,2713,258,41,1,8,6,29,4,0,0,16.92
2023-11-22,996,953,3486,210,78,3,13,13,13,2,0,0,23.04
2023-11-23,1022,971,1737,102,56,2,17,12,26,2,0,0,38.58
2023-11-24,1123,1042,2920,156,67,3,17,10,65,9,0,0,26.67
2023-11-25,915,879,2516,165,41,1,11,9,51,6,0,0,21.45
2023-11-26,739,675,1786,145,33,1,11,7,27,1,0,0,33.42
2023-11-27,773,750,3311,257,36,2,15,9,40,3,0,0,35.95
2023-11-28,862,753,1997,139,55,3,12,5,37,6,0,0,21.98
2023-11-29,840,799,1316,94,33,1,7,8,44,4,0,0,33.04
2023-11-30,945,894,2221,141,74,3,14,11,58,3,0,0,29.23
2023-12-01,923,858,3830,249,69,1,10,7,29,3,0,0,38.18
2023-12-02,734,663,2398,196,58,2,13,7,15,1,0,0,25.9
2023-12-03,764,722,1273,100,54,1,11,10,37,2,0,0,39.81
2023-12-04,644,627,1213,113,27,1,6,5,33,5,0,0,34.11
2023-12-05,652,632,2575,237,27,1,6,7,20,2,0,0,27.08
2023-12-06,731,639,1718,141,56,1,6,6,25,3,0,0,38.87
2023-12-07,1100,1008,4308,235,66,1,20,15,14,1,0,0,31.25
2023-12-08,1151,1011,3587,187,39,1,12,16,29,1,0,0,28.96
2023-12-09,811,778,1879,139,40,2,6,7,27,1,0,0,27.03
2023-12-10,756,727,1336,106,28,1,7,6,16,2,0,0,27.13
2023-12-11,626,581,2233,214,45,2,5,9,23,1,0,0,20.59
2023-12-12,721,680,2151,179,35,1,8,8,38,7,0,0,39.2
2023-12-13,918,821,1821,119,68,3,5,6,38,3,0,0,37.66
2023-12-14,1194,1110,3602,181,75,3,20,13,44,8,0,0,36.34
2023-12-15,1485,1362,3737,151,66,2,24,7,74,7,0,0,25.39
2023-12-16,862,841,2945,205,28,1,16,13,29,5,0,0,27.18
2023-12-17,769,684,3294,257,31,0,8,4,26,5,0,0,29.33
2023-12-18,750,690,1262,101,43,1,8,8,29,4,0,0,30.06
2023-12-19,824,761,2554,186,60,1,12,12,33,3,0,0,26.21
2023-12-20,765,743,1683,132,51,2,12,6,23,1,0,0,23.41
2023-12-21,943,833,2546,162,44,1,6,10,38,3,0,0,28.05
2023-12-22,881,751,1527,104,44,1,6,10,42,4,0,0,24.75
2023-12-23,758,689,2451,194,40,1,15,6,35,2,0,0,27.84
2023-12-24,642,574,1423,133,19,1,13,6,24,4,0,0,32.92
2023-12-25,696,670,2575,222,55,2,10,10,8,1,0,0,39.95
2023-12-26,585,548,2408,247,26,1,3,8,33,2,0,0,27.52
2023-12-27,628,547,1853,177,22,1,8,5,5,0,0,0,18.69
2023-12-28,867,753,2832,196,47,1,15,5,29,4,0,0,18.28
2023-12-29,1006,890,3823,228,53,1,13,5,65,6,0,0,23.43
2023-12-30,957,846,2201,138,64,1,19,14,37,7,0,0,27.29
2023-12-31,753,660,1343,107,29,1,10,6,29,3,0,0,34.61
2024-01-01,605,577,1170,116,48,2,5,7,18,3,0,0,37.62
2024-01-02,630,608,1144,109,37,0,12,8,22,4,0,0,40.32
2024-01-03,674,623,1056,94,40,1,4,7,6,1,0,0,26.44
2024-01-04,902,855,1488,99,63,3,6,5,24,4,0,0,32.88
2024-01-05,861,749,2440,170,29,1,9,6,40,6,0,0,35.97
2024-01-06,1039,935,3481,201,67,2,7,15,45,9,0,0,34.81
2024-01-07,850,758,2026,143,67,1,15,7,37,7,0,0,24.18
2024-01-08,460,393,1886,246,32,1,9,6,16,2,0,0,38.26
2024-01-09,711,682,1256,106,28,1,14,6,25,1,0,0,30.23
2024-01-10,723,700,2061,171,53,2,14,5,28,1,0,0,33.77
2024-01-11,443,409,1063,144,35,2,8,4,16,0,0,0,33.44
2024-01-12,706,680,1883,160,56,1,12,6,14,1,0,0,42.64
2024-01-13,761,657,1839,145,59,1,5,5,19,2,0,0,26.98
2024-01-14,780,715,1534,118,40,1,12,7,25,3,0,0,19.51
2024-01-15,403,353,1135,169,32,2,8,6,12,1,0,0,23.65
2024-01-16,375,364,1112,178,23,0,3,4,6,1,0,0,28.93
2024-01-17,750,657,1812,145,24,0,14,9,36,3,0,0,25.06
2024-01-18,669,649,1784,160,39,1,11,4,19,3,0,0,13.65
2024-01-19,486,442,1750,216,37,2,4,5,10,1,0,0,35.07
2024-01-20,536,522,1662,186,34,1,10,4,31,1,0,0,32.61
2024-01-21,554,498,2133,231,28,1,4,8,21,4,0,0,33.27
2024-01-22,552,493,1159,126,24,1,6,5,8,0,0,0,24.5
2024-01-23,394,372,1340,204,27,1,3,2,12,0,0,0,40.51
2024-01-24,496,438,1099,133,34,2,9,7,11,2,0,0,39.11
2024-01-25,546,481,1383,152,43,1,3,4,15,2,0,0,30.42
2024-01-26,889,816,3719,251,56,1,8,11,37,5,0,0,32.37
2024-01-27,732,652,1281,105,55,1,7,9,11,2,0,0,23.12
2024-01-28,747,676,2004,161,37,0,14,11,26,3,0,0,31.71
2024-01-29,498,469,1768,213,17,0,3,4,12,2,0,0,41.07
2024-01-30,791,771,2030,154,49,1,9,6,21,4,0,0,35.31
2024-01-31,453,415,1284,170,34,1,8,6,6,0,0,0,36.6
2024-02-01,575,542,1322,138,42,0,8,7,11,2,0,0,39.26
2024-02-02,608,518,2321,229,39,1,8,8,5,1,0,0,35.01
2024-02-03,624,551,2538,244,37,0,9,6,17,3,0,0,33.82
2024-02-04,651,580,1063,98,20,1,7,9,13,3,0,0,18.32
2024-02-05,340,289,646,114,27,0,3,4,11,0,0,0,27.84
2024-02-06,541,530,1470,163,42,1,4,5,17,1,0,0,38.16
2024-02-07,613,548,1696,166,46,2,11,3,19,1,0,0,31.29
2024-02-08,722,691,1564,130,43,2,7,7,26,4,0,0,26.72
2024-02-09,826,731,3029,220,42,1,7,5,32,4,0,0,25.38
2024-02-10,530,504,1148,130,33,1,7,7,12,0,0,0,26.9
2024-02-11,446,380,1264,170,15,0,5,5,10,1,0,0,32.77
2024-02-12,510,469,1802,212,40,1,8,5,15,2,0,0,24.42
2024-02-13,443,426,1373,186,24,0,8,3,13,1,0,0,29.39
2024-02-14,576,536,1114,116,40,1,9,8,8,1,0,0,21.0
2024-02-15,438,429,869,119,25,1,8,4,14,1,0,0,35.0
2024-02-16,361,327,1053,175,13,1,6,2,10,2,0,0,23.78
2024-02-17,498,483,1303,157,20,1,4,5,15,1,0,0,30.73
2024-02-18,466,396,1949,251,29,1,8,3,13,1,0,0,28.22
2024-02-19,455,387,1547,204,30,1,3,6,12,1,0,0,33.07
2024-02-20,476,444,928,117,20,0,7,2,16,3,0,0,38.25
2024-02-21,599,522,1797,180,25,1,11,3,18,1,0,0,34.95
2024-02-22,467,442,1276,164,24,0,8,4,7,0,0,0,31.13
2024-02-23,347,330,804,139,20,1,4,3,6,1,0,0,33.33
2024-02-24,434,396,1526,211,23,0,5,4,8,2,0,0,37.08
2024-02-25,415,399,1252,181,19,1,6,5,13,1,0,0,31.99
2024-02-26,373,323,1144,184,22,1,6,4,5,1,0,0,41.96
2024-02-27,348,339,777,134,14,1,4,5,8,1,0,0,35.2
2024-02-28,608,533,1439,142,23,1,9,6,13,2,0,0,30.62
2024-02-29,633,612,1245,118,39,2,12,6,17,1,0,0,35.7
2024-03-01,638,565,1744,164,27,1,7,6,17,2,0,0,25.44
2024-03-02,476,448,1000,126,31,1,6,3,7,0,0,0,24.6
2024-03-03,523,466,1560,179,17,0,6,4,15,1,0,0,34.78
2024-03-04,576,495,2362,246,32,1,9,6,11,2,0,0,35.24
2024-03-05,428,384,1477,207,17,1,3,5,7,1,0,0,36.25
2024-03-06,748,670,1159,93,31,1,14,6,6,0,0,0,40.71
2024-03-07,670,620,2367,212,51,2,9,7,16,2,0,0,35.42
2024-03-08,619,529,1940,188,29,1,12,4,14,1,0,0,31.38
2024-03-09,526,485,2244,256,19,1,6,5,6,1,0,0,35.31
2024-03-10,546,512,2339,257,19,1,5,3,14,1,0,0,27.47
2024-03-11,205,190,776,227,14,1,3,3,6,1,0,0,30.08
2024-03-12,561,508,1674,179,27,1,11,5,13,3,0,0,25.86
2024-03-13,571,522,980,103,30,1,9,4,19,3,0,0,31.29
2024-03-14,736,685,2294,187,25,0,12,4,8,1,0,0,27.69
2024-03-15,596,579,2285,230,47,2,4,7,11,2,0,0,13.77
2024-03-16,582,495,1319,136,36,2,11,4,6,1,0,0,24.28
2024-03-17,559,512,1239,133,42,1,8,8,7,0,0,0,39.09
2024-03-18,356,349,540,91,28,1,6,2,6,1,0,0,27.02
2024-03-19,561,478,1898,203,27,1,5,3,20,4,0,0,32.97
2024-03-20,563,547,1483,158,21,1,9,6,11,2,0,0,23.3
2024-03-21,727,684,2411,199,57,1,7,9,17,1,0,0,23.32
2024-03-22,893,798,2411,162,71,1,17,11,33,5,0,0,24.78
2024-03-23,785,757,3232,247,34,2,16,12,24,1,0,0,23.57
2024-03-24,595,548,1577,159,28,1,9,5,19,2,0,0,32.23
2024-03-25,923,793,3830,249,69,1,7,10,40,3,0,0,34.77
2024-03-26,1069,1035,3670,206,75,2,15,9,29,2,0,0,28.47
2024-03-27,1505,1298,3160,126,102,4,23,15,52,3,0,0,23.61
2024-03-28,2708,2408,7176,159,144,5,47,32,64,6,0,0,30.45
2024-03-29,3047,2765,8278,163,186,6,52,34,122,22,0,0,30.77
2024-03-30,1969,1740,6170,188,144,5,13,26,47,8,0,0,33.71
2024-03-31,1164,1050,3337,172,75,1,20,17,35,7,0,0,32.06
2024-04-01,833,712,3554,256,65,2,15,8,20,1,0,0,32.2
2024-04-02,988,872,3968,241,54,1,12,11,15,1,0,0,23.69
2024-04-03,1167,1052,1945,100,80,1,18,17,23,2,0,0,34.88
2024-04-04,912,780,1474,97,51,1,18,8,28,3,0,0,35.55
2024-04-05,1086,1038,2172,120,81,4,22,8,16,3,0,0,32.97
2024-04-06,631,565,2135,203,36,1,5,6,11,1,0,0,39.49
2024-04-07,663,640,2453,222,29,0,5,8,8,0,0,0,21.66
2024-04-08,642,567,2097,196,23,0,13,9,15,3,0,0,32.16
2024-04-09,577,546,1529,159,42,1,11,3,15,2,0,0,28.6
2024-04-10,738,674,1931,157,44,2,7,8,21,4,0,0,28.48
2024-04-11,583,554,1458,150,30,1,8,5,10,0,0,0,26.68
2024-04-12,777,661,2422,187,26,1,9,9,14,3,0,0,36.81
2024-04-13,568,555,2215,234,44,2,4,7,2,0,0,0,32.39
2024-04-14,376,333,1047,167,13,0,2,5,13,2,0,0,24.86
2024-04-15,415,381,1224,177,17,1,6,6,9,1,0,0,17.75
2024-04-16,608,534,1165,115,40,2,12,7,21,2,0,0,29.59
2024-04-17,640,614,2325,218,33,2,4,6,14,1,0,0,35.8
2024-04-18,696,611,1125,97,27,0,9,6,7,0,0,0,35.47
2024-04-19,494,463,823,100,36,1,10,5,13,1,0,0,30.91
2024-04-20,574,557,2239,234,35,1,7,4,10,1,0,0,29.62
2024-04-21,348,310,847,146,28,1,7,3,12,1,0,0,26.49
2024-04-22,560,498,1512,162,27,1,10,4,19,0,0,0,33.32
2024-04-23,375,328,1619,259,12,0,4,5,6,0,0,0,29.57
2024-04-24,521,452,1902,219,25,0,6,6,10,2,0,0,32.13
2024-04-25,599,519,1597,160,31,1,6,3,15,3,0,0,27.82
2024-04-26,709,679,1796,152,29,1,7,4,11,1,0,0,36.44
2024-04-27,428,374,934,131,32,1,3,5,16,3,0,0,30.96
2024-04-28,519,504,1496,173,34,2,4,6,2,0,0,0,24.17
2024-04-29,283,242,637,135,9,0,3,4,4,1,0,0,42.34
2024-04-30,478,407,1060,133,31,2,4,3,15,2,0,0,37.07
2024-05-01,426,381,674,95,27,1,6,6,6,0,0,0,25.13
2024-05-02,326,292,788,145,14,0,4,5,10,0,0,0,27.26
2024-05-03,669,643,1896,170,22,1,13,6,14,1,0,0,27.09
2024-05-04,460,411,1679,219,30,0,9,3,4,0,0,0,39.92
2024-05-05,277,270,919,199,20,0,3,4,6,1,0,0,33.73
2024-05-06,411,368,973,142,20,1,8,4,11,0,0,0,36.49
2024-05-07,421,380,1081,154,27,1,7,4,8,1,0,0,24.87
2024-05-08,695,649,1992,172,27,1,4,9,25,1,0,0,32.39
2024-05-09,798,758,3099,233,49,1,7,9,19,3,0,0,10.91
2024-05-10,434,424,1599,221,18,1,9,3,4,0,0,0,33.28
2024-05-11,360,345,1380,230,26,0,5,2,6,0,0,0,32.99
2024-05-12,443,388,893,121,20,1,5,5,9,1,0,0,32.11
2024-05-13,203,177,822,243,12,0,3,2,8,0,0,0,32.73
2024-05-14,302,291,1153,229,21,1,2,4,3,0,0,0,24.25
2024-05-15,667,654,2568,231,39,1,4,8,18,2,0,0,24.7
2024-05-16,394,360,1615,246,12,0,2,3,5,0,0,0,25.47
2024-05-17,753,710,1820,145,41,1,15,5,31,4,0,0,30.62
2024-05-18,499,425,765,92,21,1,8,3,12,2,0,0,38.9
2024-05-19,346,294,859,149,22,0,5,3,8,1,0,0,25.01
2024-05-20,378,362,983,156,16,1,6,4,7,1,0,0,34.34
2024-05-21,218,195,723,199,7,0,4,2,4,1,0,0,31.33
2024-05-22,605,553,2128,211,28,1,12,4,16,0,0,0,34.9
2024-05-23,530,470,2261,256,20,0,7,5,13,2,0,0,34.78
2024-05-24,546,507,1738,191,19,0,4,4,15,2,0,0,29.9
2024-05-25,735,656,2070,169,27,1,7,5,16,3,0,0,34.7
2024-05-26,353,313,1159,197,21,0,5,5,7,0,0,0,38.36
2024-05-27,343,292,572,100,26,0,3,5,6,1,0,0,31.53
2024-05-28,577,515,1991,207,19,1,10,7,19,1,0,0,42.65
2024-05-29,640,608,1696,159,42,2,13,9,16,3,0,0,25.28
2024-05-30,620,543,2005,194,35,1,5,4,9,1,0,0,31.16
2024-05-31,542,479,1066,118,27,1,9,6,11,0,0,0,39.44
2024-06-01,540,512,927,103,21,1,9,8,11,1,0,0,26.5
2024-06-02,801,685,2310,173,53,2,7,11,20,3,0,0,35.76
2024-06-03,308,300,1201,234,22,1,3,2,9,1,0,0,26.56
2024-06-04,459,423,1844,241,25,1,4,6,12,1,0,0,31.12
2024-06-05,394,338,749,114,29,1,3,5,9,0,0,0,35.26
2024-06-06,687,588,1065,93,37,2,7,5,26,1,0,0,30.44
2024-06-07,474,455,1951,247,35,0,9,5,4,1,0,0,24.67
2024-06-08,684,619,2816,247,48,1,4,6,13,0,0,0,32.17
2024-06-09,625,541,1625,156,40,1,5,3,11,2,0,0,19.95
2024-06-10,587,541,1908,195,35,1,10,5,15,3,0,0,28.13
2024-06-11,652,612,2391,220,35,1,8,5,3,0,0,0,21.95
2024-06-12,671,611,1655,148,51,1,4,6,21,1,0,0,19.17
2024-06-13,1112,970,3410,184,38,1,12,13,34,6,0,0,36.26
2024-06-14,923,900,1523,99,43,1,13,8,34,5,0,0,29.93
2024-06-15,885,819,2950,200,58,2,7,9,36,5,0,0,22.56
2024-06-16,787,755,2492,190,45,2,14,6,19,3,0,0,31.37
